title,price,rating
"SA Products Air Conditioner, Air conditioning Unit | 9000BTU 3-1 Portable Air Conditioner 24H Timer, Digital Display & Remote | Air Conditioner Unit Portable, Air Con, Air Conditioners for home",£299.95,4.1 out of 5 stars
"Ariston MOBIS 8 UK portable air conditioner, 8000 BTU, A energy class, white - Manufactured to be installed in UK",£259.99,3.7 out of 5 stars
"TANGZON 5-in-1 Portable Air Conditioner 9000/12000BTU, WIFI Smart App Compatible, Heater, Dehumidifier, 2/3 Speeds Fan with Sleep Mode, Remote Control, 24H Timer & Digital Display (9000BTU, 2 Speeds)",£369.90,4.8 out of 5 stars
"Portable Air Conditioner 9000 BTU 4-in-1 Dehumidifier, Cooling Fan with 2 Speeds, Digital Display & Remote Control, and 24 Hour Timer for Rooms Up to 215ft",£359.99,4.5 out of 5 stars
"Olimpia Splendid 01961 Dolceclima Portable Air Conditioner Unit With Cooling, Fan, Dehumidifier, Gas R290, Design Made In Italy, White",£369.90,4.2 out of 5 stars
"COSTWAY 7000/9000BTU Portable Air Conditioner, 4 in 1 Mobile Cooler, Dehumidifier, Fan with Sleep Mode, Remote Control, 2 Fan Speeds, 24H Timer, LED Display & Protective Function (7000BTU,Black+White)",£319.95,4.0 out of 5 stars
"Portable Air Conditioner 9000 BTU Air Conditioning Unit with 4-in-1 Function, Air Cooling, Ventilation, Dehumidifying and Sleep Mode with 24H Timer, Window Venting Kit Included - Portable AC Unit",£379.95,4.2 out of 5 stars
"Avalla S-360 Portable 3-in-1 Air Conditioner; 26L Dehumidifier, 2900W Industrial Class 10000BTU - 100m³ Multi-Room Coverage",£499.99,4.2 out of 5 stars
"ALLAIR Portable Air Conditioner 3-IN-1 8000 BTU, Dehumidifier, Cooling Fan - WiFi Smart APP, Weekly Timer, Cooling in 10 Minutes,Temperature 17°C - 35°C, Remote Control and Accessories Included",£299.99,4.0 out of 5 stars
"BLACK+DECKER BXAC40008GB Portable 3-in-1 Air Conditioner with 24-Hour Timer, Remote Control, 12,000 BTU, White",£549.97,4.0 out of 5 stars
"Portable Air Conditioner, 4-In-1 Air Conditioning Unit 7000 BTU, Dehumidifier, Cooling Fan with 2 Fan Speeds,Digital Display, Remote Control, 24 Hour Timer & Window Venting Kit for Rooms Up to 215ft",£349.99,4.5 out of 5 stars
"COSTWAY 4 in 1 Portable Air Conditioner, 9000 BTU Mobile Cooler, Fan and Dehumidifier with Sleep Mode, 24H Timer, 2 Fan Speed, Remote Control, LED Display, Overflow Protection & Window Kit",£329.95,5.0 out of 5 stars
"COSTWAY 7000/9000BTU Portable Air Conditioner, 4 in 1 Mobile Cooler, Dehumidifier, Fan with Sleep Mode, Remote Control, 2 Fan Speeds, 24H Timer, LED Display & Protective Function (7000BTU,Black+White)",£319.95,4.0 out of 5 stars
"COSTWAY 4 in 1 Portable Air Conditioner, 9000 BTU Mobile Cooler, Fan and Dehumidifier with Sleep Mode, 24H Timer, 2 Fan Speed, Remote Control, LED Display, Overflow Protection & Window Kit",£329.95,5.0 out of 5 stars
